name,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,config,time,Best Time(s),Best Time(ms),Best Config,,part1,part2,part1-bclt,part2-bclt,bclt,part1-mathsat,part2-mathsat,mathsat,par1-z3,part2-z3,z3
ComplInterv2.c,part1-1-1-z3,500,part1-1-1-mathsat,599,part1-1-2-z3,31695,part1-1-2-mathsat,510,part1-1-3-mathsat,2243,part1-2-1-z3,10624,part1-2-1-mathsat,643,part1-2-2-mathsat,6093,part1-3-1-mathsat,1077,part2-1-1-bclt,6188,part2-1-1-z3,7628,part2-1-1-mathsat,11781,part2-1-2-z3,40924,part2-1-2-mathsat,7663,part2-1-3-bclt,13864,part2-2-1-bclt,6517,part2-2-1-z3,12693,part2-2-1-mathsat,28072,part2-2-2-mathsat,7279,part2-3-1-bclt,16633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,500,part1-1-1-z3,linear,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ComplInterv3.c,part1-1-1-z3,353,part1-1-1-mathsat,395,part1-1-2-z3,1901,part1-1-2-mathsat,261,part1-1-3-mathsat,1051,part1-2-1-z3,2748,part1-2-1-mathsat,359,part1-2-2-mathsat,3983,part1-3-1-z3,30699,part1-3-1-mathsat,647,part1-3-2-mathsat,24852,part2-1-1-bclt,5650,part2-1-1-z3,5683,part2-1-1-mathsat,6119,part2-1-2-bclt,6596,part2-1-2-z3,19091,part2-1-3-bclt,7275,part2-2-1-bclt,6004,part2-2-1-z3,6842,part2-2-1-mathsat,9360,part2-2-2-bclt,31937,part2-3-1-bclt,6186,part2-3-1-z3,29189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261,261,part1-1-2-mathsat,linear,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ComplxStruc.c,part1-1-1-bclt,369,part1-1-1-z3,637,part1-1-1-mathsat,328,part1-1-2-bclt,509,part1-1-2-z3,3610,part1-1-2-mathsat,370,part1-1-3-bclt,1550,part1-1-3-mathsat,731,part1-2-1-bclt,436,part1-2-1-z3,19634,part1-2-1-mathsat,530,part1-2-2-bclt,9350,part1-2-2-mathsat,4387,part1-3-1-bclt,939,part1-3-1-mathsat,1427,part2-1-1-bclt,5968,part2-1-1-z3,8060,part2-1-1-mathsat,8325,part2-1-2-bclt,6152,part2-1-3-bclt,10551,part2-2-1-bclt,6535,part2-2-1-z3,33508,part2-2-1-mathsat,9718,part2-2-2-bclt,15551,part2-3-1-bclt,6694,part2-3-1-mathsat,21716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.328,328,part1-1-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
ConvLower.c,part1-1-1-z3,451,part1-1-1-mathsat,1266,part1-1-2-z3,10674,part1-1-2-mathsat,233,part1-1-3-mathsat,501,part1-2-1-z3,10426,part1-2-1-mathsat,259,part1-2-2-mathsat,1328,part1-2-3-mathsat,5855,part1-3-1-mathsat,364,part1-3-2-mathsat,7855,part2-1-1-bclt,5665,part2-1-1-z3,6639,part2-1-1-mathsat,5353,part2-1-2-z3,21082,part2-1-2-mathsat,5273,part2-1-3-bclt,6816,part2-2-1-bclt,5377,part2-2-1-z3,6196,part2-2-2-mathsat,6158,part2-3-1-bclt,5971,part2-3-2-mathsat,29868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233,233,part1-1-2-mathsat,linear,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Cousot.c,part1-1-1-bclt,236,part1-1-1-z3,319,part1-1-1-mathsat,219,part1-1-2-bclt,271,part1-1-2-z3,590,part1-1-2-mathsat,250,part1-1-3-bclt,326,part1-1-3-z3,1322,part1-1-3-mathsat,318,part1-2-1-bclt,263,part1-2-1-z3,2290,part1-2-1-mathsat,320,part1-2-2-bclt,616,part1-2-2-mathsat,642,part1-2-3-bclt,26871,part1-3-1-bclt,367,part1-3-1-z3,2501,part1-3-1-mathsat,375,part1-3-2-bclt,13718,part1-3-2-mathsat,38132,part2-1-1-z3,5148,part2-1-1-mathsat,4790,part2-1-2-z3,6264,part2-2-1-bclt,5071,part2-2-1-z3,5433,part2-2-1-mathsat,4546,part2-2-2-z3,20579,part2-3-1-bclt,5387,part2-3-1-z3,5604,part2-3-1-mathsat,5206,,,,,,,,,,,,,,,,,,,,,,,,,0.219,219,part1-1-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DivWithoutMinus.c,part1-3-1-bclt,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201,2201,part1-3-1-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Et2.c,part1-1-1-bclt,255,part1-1-1-z3,264,part1-1-1-mathsat,265,part1-1-2-bclt,330,part1-1-2-z3,570,part1-1-2-mathsat,346,part1-1-3-bclt,356,part1-1-3-z3,3895,part1-1-3-mathsat,792,part1-2-1-bclt,351,part1-2-1-z3,47654,part1-2-1-mathsat,427,part1-2-2-bclt,959,part1-2-2-mathsat,2487,part1-2-3-bclt,26269,part1-3-1-bclt,1730,part1-3-1-mathsat,1406,part1-3-2-bclt,7316,part2-1-1-bclt,5158,part2-1-1-z3,6030,part2-1-1-mathsat,5814,part2-1-2-bclt,5912,part2-1-2-z3,38734,part2-1-2-mathsat,7179,part2-1-3-bclt,6616,part2-1-3-mathsat,8399,part2-2-1-bclt,5335,part2-2-1-z3,6865,part2-2-1-mathsat,7007,part2-2-2-bclt,6947,part2-2-2-mathsat,29155,part2-2-3-bclt,37302,part2-3-1-bclt,8651,part2-3-1-z3,9970,part2-3-1-mathsat,11899,part2-3-2-bclt,18447,,,,,,,,,,,,,0.255,255,part1-1-1-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Et4.c,part1-3-1-bclt,7493,part1-3-1-mathsat,11076,part1-3-2-bclt,50997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.493,7493,part1-3-1-bclt,linear,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Even.c,part1-1-1-bclt,424,part1-1-1-z3,3909,part1-1-1-mathsat,372,part1-1-2-bclt,541,part1-1-2-z3,33202,part1-1-2-mathsat,700,part1-1-3-bclt,813,part1-1-3-mathsat,1145,part1-2-1-bclt,687,part1-2-1-z3,56497,part1-2-1-mathsat,543,part1-2-2-bclt,3987,part1-2-2-mathsat,4978,part1-2-3-bclt,52386,part1-3-1-bclt,839,part1-3-1-mathsat,2565,part1-3-2-bclt,8857,part2-1-1-bclt,6517,part2-1-1-z3,15575,part2-1-2-bclt,7753,part2-1-3-bclt,10162,part2-2-1-bclt,6694,part2-2-2-bclt,13568,part2-3-1-bclt,8163,part2-3-2-bclt,38093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.372,372,part1-1-1-mathsat,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Ex01.c,part1-1-1-bclt,255,part1-1-1-z3,316,part1-1-1-mathsat,381,part1-1-2-bclt,242,part1-1-2-z3,452,part1-1-2-mathsat,265,part1-1-3-bclt,348,part1-1-3-z3,1203,part1-1-3-mathsat,512,part1-2-1-bclt,332,part1-2-1-z3,718,part1-2-1-mathsat,356,part1-2-2-bclt,375,part1-2-2-z3,18727,part1-2-2-mathsat,347,part1-2-3-bclt,707,part1-2-3-mathsat,570,part1-3-1-bclt,262,part1-3-1-z3,11802,part1-3-1-mathsat,472,part1-3-2-bclt,432,part1-3-2-mathsat,570,part1-3-3-bclt,3326,part2-1-1-bclt,7386,part2-1-1-z3,6779,part2-1-1-mathsat,6917,part2-1-2-bclt,6518,part2-1-2-z3,7089,part2-1-2-mathsat,7669,part2-1-3-bclt,6534,part2-1-3-z3,15103,part2-2-1-bclt,4864,part2-2-1-z3,5142,part2-2-1-mathsat,5421,part2-2-2-bclt,6559,part2-2-2-z3,23422,part2-2-3-bclt,7169,part2-3-1-bclt,4776,part2-3-1-z3,5441,part2-3-1-mathsat,5170,part2-3-2-bclt,5855,part2-3-3-bclt,16726,0.242,242,part1-1-2-bclt,linear,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ex02.c,part1-1-1-z3,300,part1-1-1-mathsat,267,part1-1-2-z3,1329,part1-1-2-mathsat,309,part1-1-3-z3,32828,part1-1-3-mathsat,439,part1-2-1-z3,902,part1-2-1-mathsat,498,part1-2-2-mathsat,1523,part1-3-1-z3,36783,part1-3-1-mathsat,517,part1-3-2-mathsat,3095,part2-1-1-bclt,5878,part2-1-1-z3,5534,part2-1-1-mathsat,6383,part2-1-2-z3,7840,part2-1-2-mathsat,7300,part2-1-3-bclt,8027,part2-2-1-bclt,5681,part2-2-1-z3,7082,part2-2-1-mathsat,15286,part2-2-2-mathsat,5534,part2-3-1-bclt,6197,part2-3-1-z3,8032,part2-3-2-mathsat,7240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,267,part1-1-1-mathsat,linear,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
